Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
5S,AH,AS,3D,7S,9H,1,0,10D,AD,KC,KH,4S,0,0,KD,9D,JH,9S,6C,1,0,2H,10C,9C,8D,3C,0,1,5H,QS,7H,6H,5D,1,0,8S,5C,QH,6S,4H,0,0
4S,6S,10C,2C,10D,5S,1,0,10S,7C,9D,4H,KH,0,0,8D,KD,7D,6C,7S,1,1,5D,2S,5H,3D,4D,1,0,QC,7H,AH,AC,AD,1,0,2H,JC,8C,6D,QH,0,0
5H,2D,8S,6S,4H,AC,0,0,AD,4S,2H,QS,9H,0,0,8H,QH,9D,9C,10D,1,0,KS,2C,3S,6D,KH,0,0,6H,10S,3C,KC,AS,0,1,8D,6C,3D,QD,JC,0,0
10H,9S,KC,9D,4H,JH,1,0,3C,3S,2S,3H,10C,1,1,3D,9H,10S,2C,9C,1,0,6C,KH,5H,AS,4D,0,0,7H,7S,8H,QS,KS,1,0,JD,6D,6H,5D,8C,1,0
10C,4S,QH,9C,10H,6S,1,0,AC,AH,KD,2S,AS,1,0,8C,4H,10S,2H,7H,0,0,6C,JS,3C,7D,3S,1,0,5S,KS,9S,6D,9H,1,0,QC,8H,5D,7C,AD,0,1
9C,7D,5S,3D,2C,7H,1,0,4D,9S,4S,3H,4C,1,1,9D,QH,2D,2H,6C,1,0,10H,8C,QC,KH,QS,1,0,6D,JS,9H,6H,AC,1,0,10D,JC,5D,JH,7C,1,0
6H,10H,7D,6D,JC,8S,1,1,QH,AC,QS,8D,4D,1,0,KS,2H,2C,2D,9H,1,0,KC,9S,3C,QC,7S,0,0,KH,9D,AS,3D,9C,1,0,5S,JD,10C,4S,5D,1,0
KC,10H,5D,7C,QS,2S,0,0,AS,3S,QH,10C,7D,0,0,8H,3C,5H,6D,JD,0,1,9H,8C,AD,JC,3D,0,0,4H,AH,7H,9D,9C,1,0,6H,10S,8S,4S,8D,1,0
9D,QC,6H,7S,2C,8H,0,0,9S,AD,KD,QD,QH,1,0,5C,7D,3H,JH,6D,0,0,4H,10H,7H,8D,10C,1,1,5D,AS,2D,3D,3C,1,0,KS,3S,QS,AC,JC,0,0
6D,6H,AH,JC,3C,7C,1,0,KH,4H,5D,AC,4D,1,1,2D,3S,5S,QH,AS,0,0,2S,QD,3D,10D,9D,0,0,4S,2H,7S,3H,JH,0,0,2C,5H,9H,KC,8S,0,0
KS,5D,AH,8S,8H,7C,1,0,JH,5H,2H,9H,4C,0,1,10C,10S,3C,5S,QS,1,0,7H,KH,9C,3D,KC,0,0,6C,10H,4S,KD,9S,0,0,3H,6S,JC,3S,QC,1,0
7C,7H,AH,6D,KC,3H,1,1,KH,9S,10H,7D,4H,0,0,QH,6H,2D,3D,5D,0,0,9H,JD,5S,QC,6C,0,0,2C,9C,8H,AD,10D,0,0,2H,9D,8S,AC,5H,0,0
5D,JC,9H,JD,8C,3S,1,0,AD,3H,6D,6S,7C,1,1,8D,10H,7D,10D,QD,1,0,AS,2H,9S,5S,QS,0,0,2S,2D,KD,7S,QH,1,0,5C,AC,KC,9D,4S,0,0
5D,3H,AS,QH,8H,7D,0,0,3C,8S,10D,10S,6C,1,0,4C,JD,2H,AH,9H,0,1,10H,QD,KS,JC,JS,1,0,3D,6S,7S,JH,7H,1,0,9D,4S,6H,KH,3S,0,0
AC,KH,QC,9D,10D,10H,1,0,2D,AD,8C,5H,KD,0,1,4C,9S,KC,4S,6H,1,0,5S,3S,2C,4D,8H,0,0,6D,7S,5C,QS,8D,0,0,9H,JH,AS,JC,10S,1,0
6C,9C,4D,2H,9D,JC,1,0,9H,JD,KD,QS,2C,0,0,AD,10S,5S,8D,QD,0,1,7S,7C,KH,9S,8S,1,0,10H,5C,2S,10C,QC,1,0,6S,QH,2D,3S,10D,0,0
AC,10S,QC,3C,5H,7D,0,0,7C,AH,KH,JC,JD,1,0,8S,QS,4D,6D,9H,0,0,2C,8C,4S,JS,6S,0,0,4C,3D,9S,4H,3H,2,1,QD,9D,2D,JH,QH,1,0
QS,5H,3H,5C,AS,10D,1,0,8S,4D,10H,7D,10C,1,0,5D,6C,QH,AH,8D,0,0,AD,4H,9D,AC,3D,1,1,8H,KH,7S,9H,JH,0,0,8C,KD,JD,6H,KC,0,0
QH,9C,2S,3S,10D,2H,1,0,8S,5S,AC,5D,6S,1,0,2C,AD,8C,10H,KD,0,0,3C,8H,KS,5H,6H,0,0,5C,JS,6D,AS,9H,0,1,4D,4C,AH,JH,QC,1,0
2D,9H,4S,10H,QC,AC,0,0,10D,3C,KC,3D,JD,1,1,10S,JS,6S,9D,4H,0,0,6H,QD,QS,8H,4C,1,0,8D,7C,AH,2H,JH,0,0,4D,JC,7D,6D,6C,1,0
10S,KC,AC,JH,AH,8D,1,0,5H,9C,JC,QC,7D,0,0,JS,3C,3D,6D,6C,2,0,7S,10D,9S,2H,AS,0,0,9H,10C,5D,4D,9D,1,1,8C,AD,2S,7H,5S,0,0
9S,JS,AS,7H,2C,KD,0,1,7C,7D,6S,8H,8S,2,0,2H,QH,AC,2S,5H,1,0,QS,4D,3D,AH,10C,0,0,3C,9D,AD,4S,9H,1,0,3S,6C,5S,JC,QC,0,0
5D,5C,8C,10C,AS,4C,1,1,7S,5H,QS,3C,2H,0,0,10D,9H,4H,KD,8S,0,0,8H,JS,QD,2S,3S,0,0,6C,8D,JD,2D,QH,0,0,AC,4S,QC,KS,5S,0,0
AD,4S,2H,7H,3S,4H,1,0,9C,6C,2S,QH,4D,0,0,10H,8D,7D,8C,KD,1,0,7S,10S,7C,3H,2C,1,1,6H,AH,KH,4C,KS,0,0,AC,3C,5H,8H,5S,1,0
10C,JH,8H,3C,KD,QC,0,1,2S,JC,4D,7D,6D,0,0,8D,2H,9C,KC,AC,0,0,9H,QH,JS,9D,3H,1,0,6S,KS,10H,2D,10S,1,0,JD,6C,7S,KH,4H,0,0
9S,10D,AD,JC,JH,7H,1,0,8H,QC,10H,AC,8D,1,0,8S,KD,3H,4H,6H,0,0,QS,3S,7C,2H,6S,0,0,6C,5D,8C,10C,3D,0,0,9D,AS,KH,2D,QD,0,1
7S,QD,AC,3H,2S,KH,0,0,JD,8H,3C,KS,10C,0,0,KD,JH,4D,KC,4S,1,0,10S,3D,8C,7H,4C,0,1,8S,10D,7C,9H,5D,0,0,6S,8D,7D,QH,5H,0,0
9S,KC,QC,9H,8S,6H,1,0,8H,4H,4C,2S,7S,1,1,AC,QD,5D,5C,AS,2,0,10S,10H,4D,9C,QS,1,0,4S,2C,5H,5S,10D,1,0,JD,AH,KH,2H,7D,0,0
8S,8C,4D,10C,JD,AH,1,1,3S,JC,9C,6H,10S,0,0,2D,QC,5S,AD,AS,1,0,6C,KS,8H,5D,9D,0,0,KH,3H,QS,JH,3C,1,0,10D,8D,5H,6D,2H,0,0
3D,AD,2S,9H,QH,5H,0,0,KD,KC,JD,3H,4H,0,0,8S,5D,4C,JH,5C,1,1,6C,7C,QC,9C,JS,0,0,10C,7D,7H,4S,3S,1,0,6D,KH,8D,5S,9D,0,0
AC,KD,9C,6C,JS,10D,0,1,7S,4S,8C,3C,AS,0,0,4H,9S,6D,5S,KH,0,0,QH,3D,2S,KC,3H,1,0,QS,7C,4D,QD,10C,1,0,8H,JD,AH,9D,10S,0,0
6D,8H,2S,9S,JC,5D,0,0,9D,JS,4H,3C,AD,0,0,KH,5H,9H,5C,8D,1,0,7H,4D,6S,AH,QD,0,1,KS,7C,QH,6H,7S,1,0,3H,JD,AC,6C,7D,0,0
7S,8D,KD,KS,AD,8H,1,1,5H,3C,QC,JD,2C,0,0,AS,8C,5C,JS,3D,0,0,JH,5S,QH,7C,4H,0,0,4D,2H,10H,KC,5D,0,0,4C,2S,QD,6C,10S,0,0
3C,8D,3D,10S,5C,AC,1,0,KC,6C,9D,8S,5D,0,0,QS,6D,10C,7H,QC,1,1,8C,5H,6S,AD,4H,0,0,QD,3S,5S,KH,2C,0,0,7C,JH,10H,6H,JD,1,0
9C,AS,7C,4H,8S,10C,0,0,2H,5C,JC,10D,QD,0,0,7H,3S,3H,AC,JH,1,1,10H,10S,JD,2D,8H,1,0,8D,9H,JS,KH,KS,0,0,AH,5D,7S,5S,3C,1,0
AH,QD,2S,6C,9H,9S,1,0,JH,AC,7C,2D,7H,1,0,5C,AD,9D,2H,3S,0,0,QS,6S,8H,KS,4D,0,1,8D,KD,QH,KC,9C,0,0,6D,4H,10S,10D,10C,1,0
2S,JD,6C,KH,8H,2C,1,1,10H,9H,JS,KC,10S,1,0,8C,10C,4D,7S,3D,0,0,AC,5C,QD,6H,QC,1,0,4H,8S,5S,7D,5H,1,0,KD,7H,7C,4C,AD,1,0
10D,3C,AS,7S,2D,5H,0,0,3S,10S,AD,KH,QH,0,1,10H,7H,JC,8H,JD,1,0,7C,8D,9C,QC,5D,0,0,3H,2H,3D,8C,10C,1,0,9H,9D,4C,JH,KS,1,0
8S,10S,3S,5D,3C,3H,1,0,3D,JD,2C,AD,QC,0,0,6S,KS,AC,9D,8H,0,0,7C,9H,9S,6D,AS,1,0,9C,JC,5C,JH,5S,2,1,KH,7S,2S,10H,4S,0,0
KS,6H,6S,7D,10D,KC,1,0,3H,4S,5C,5S,AS,1,1,JS,4H,QH,10S,6C,0,0,QD,5D,5H,2H,AC,1,0,9D,JH,7S,9S,2S,1,0,KD,3C,8S,9C,7C,0,0
2S,9H,JS,AD,5H,3C,0,0,5C,10H,KH,8S,AS,0,0,10C,4D,10S,AC,JD,1,0,KS,6C,3H,8D,9C,0,0,2H,3S,6S,9D,2C,1,0,JH,KC,QS,6D,4S,0,1
QC,KS,KD,3C,5D,9D,0,0,JS,KC,7H,QS,10S,0,0,4H,3S,JH,QH,QD,1,0,8C,6H,2C,5H,JC,0,0,7D,9H,8D,9S,8H,2,1,6D,AC,7S,10C,2H,0,0
3H,KH,8C,2S,2D,KD,1,1,QH,AS,4D,10H,10D,1,0,QD,6H,KS,9C,5D,0,0,3D,AH,7H,7C,4H,1,0,6S,QC,6C,AD,9S,1,0,2H,4S,8D,JD,10S,0,0
6H,3C,9C,QH,3S,9H,2,0,QD,QC,7S,2S,8C,1,0,JC,7H,10S,3H,KC,0,0,8H,AH,AC,5S,8S,2,1,5H,4S,9S,4D,AD,1,0,5D,7D,KD,JH,8D,0,0
5C,2C,8S,AC,QS,6C,0,1,10H,3H,6S,JH,AD,0,0,9H,2S,QD,QH,5H,1,0,KS,5D,3C,10S,KC,0,0,5S,QC,7H,8C,9S,0,0,10D,8H,JC,7C,9D,0,0
9D,4D,8C,QC,10D,3D,0,0,7D,10S,AD,2C,3C,0,0,2S,9H,JH,10H,8H,0,1,7H,JD,5D,2H,5C,1,0,KS,6C,KC,6S,9S,1,0,4C,JS,AC,8S,7C,0,0
